id,datetime,open,high,low,close,volume
CFFEX.T2212,2022-09-06 10:01:00,101.825,101.83,101.825,101.825,229.0
CFFEX.T2212,2022-09-06 10:02:00,101.825,101.83,101.825,101.825,96.0
CFFEX.T2212,2022-09-06 10:03:00,101.825,101.84,101.825,101.84,476.0
CFFEX.T2212,2022-09-06 10:04:00,101.84,101.84,101.83,101.83,504.0
CFFEX.T2212,2022-09-06 10:05:00,101.83,101.83,101.815,101.82,601.0
CFFEX.T2212,2022-09-06 10:06:00,101.82,101.825,101.815,101.825,272.0
CFFEX.T2212,2022-09-06 10:07:00,101.825,101.83,101.82,101.83,378.0
CFFEX.T2212,2022-09-06 10:08:00,101.83,101.83,101.82,101.825,169.0
CFFEX.T2212,2022-09-06 10:09:00,101.825,101.825,101.82,101.82,362.0
CFFEX.T2212,2022-09-06 10:10:00,101.82,101.825,101.81,101.81,593.0
CFFEX.T2212,2022-09-06 10:11:00,101.81,101.82,101.81,101.815,377.0
CFFEX.T2212,2022-09-06 10:12:00,101.815,101.82,101.815,101.815,166.0
CFFEX.T2212,2022-09-06 10:13:00,101.815,101.82,101.815,101.82,30.0
CFFEX.T2212,2022-09-06 10:14:00,101.82,101.82,101.815,101.815,158.0
CFFEX.T2212,2022-09-06 10:15:00,101.815,101.815,101.805,101.805,509.0
CFFEX.T2212,2022-09-06 10:16:00,101.805,101.815,101.805,101.815,206.0
CFFEX.T2212,2022-09-06 10:17:00,101.815,101.815,101.805,101.805,195.0
CFFEX.T2212,2022-09-06 10:18:00,101.805,101.815,101.805,101.815,238.0
CFFEX.T2212,2022-09-06 10:19:00,101.815,101.815,101.805,101.805,41.0
CFFEX.T2212,2022-09-06 10:20:00,101.805,101.81,101.8,101.8,59.0
CFFEX.T2212,2022-09-06 10:21:00,101.8,101.815,101.8,101.815,188.0
CFFEX.T2212,2022-09-06 10:22:00,101.815,101.815,101.805,101.805,59.0
CFFEX.T2212,2022-09-06 10:23:00,101.805,101.81,101.805,101.805,56.0
CFFEX.T2212,2022-09-06 10:24:00,101.805,101.815,101.8,101.81,335.0
CFFEX.T2212,2022-09-06 10:25:00,101.81,101.815,101.805,101.815,196.0
CFFEX.T2212,2022-09-06 10:26:00,101.815,101.825,101.815,101.82,156.0
CFFEX.T2212,2022-09-06 10:27:00,101.82,101.82,101.805,101.805,223.0
CFFEX.T2212,2022-09-06 10:28:00,101.805,101.815,101.805,101.815,36.0
CFFEX.T2212,2022-09-06 10:29:00,101.815,101.82,101.81,101.815,200.0
CFFEX.T2212,2022-09-06 10:30:00,101.815,101.825,101.815,101.82,202.0
CFFEX.T2212,2022-09-06 10:31:00,101.82,101.825,101.815,101.82,198.0
CFFEX.T2212,2022-09-06 10:32:00,101.82,101.82,101.81,101.815,191.0
CFFEX.T2212,2022-09-06 10:33:00,101.815,101.815,101.805,101.81,277.0
CFFEX.T2212,2022-09-06 10:34:00,101.81,101.81,101.805,101.81,69.0
CFFEX.T2212,2022-09-06 10:35:00,101.81,101.81,101.805,101.805,100.0
CFFEX.T2212,2022-09-06 10:36:00,101.805,101.805,101.785,101.785,448.0
CFFEX.T2212,2022-09-06 10:37:00,101.785,101.785,101.765,101.77,514.0
CFFEX.T2212,2022-09-06 10:38:00,101.77,101.78,101.765,101.775,504.0
CFFEX.T2212,2022-09-06 10:39:00,101.775,101.775,101.765,101.765,327.0
CFFEX.T2212,2022-09-06 10:40:00,101.765,101.78,101.765,101.775,585.0
CFFEX.T2212,2022-09-06 10:41:00,101.775,101.78,101.775,101.775,163.0
CFFEX.T2212,2022-09-06 10:42:00,101.775,101.78,101.775,101.775,160.0
CFFEX.T2212,2022-09-06 10:43:00,101.775,101.775,101.76,101.765,616.0
CFFEX.T2212,2022-09-06 10:44:00,101.765,101.765,101.76,101.765,234.0
CFFEX.T2212,2022-09-06 10:45:00,101.765,101.77,101.75,101.75,448.0
CFFEX.T2212,2022-09-06 10:46:00,101.75,101.765,101.75,101.76,441.0
CFFEX.T2212,2022-09-06 10:47:00,101.76,101.775,101.76,101.775,211.0
CFFEX.T2212,2022-09-06 10:48:00,101.775,101.78,101.77,101.775,279.0
CFFEX.T2212,2022-09-06 10:49:00,101.775,101.78,101.775,101.775,93.0
CFFEX.T2212,2022-09-06 10:50:00,101.775,101.78,101.765,101.765,366.0
CFFEX.T2212,2022-09-06 10:51:00,101.765,101.77,101.76,101.765,194.0
CFFEX.T2212,2022-09-06 10:52:00,101.765,101.765,101.76,101.765,110.0
CFFEX.T2212,2022-09-06 10:53:00,101.765,101.775,101.765,101.775,71.0
CFFEX.T2212,2022-09-06 10:54:00,101.775,101.775,101.77,101.77,51.0
CFFEX.T2212,2022-09-06 10:55:00,101.77,101.77,101.76,101.76,466.0
CFFEX.T2212,2022-09-06 10:56:00,101.76,101.765,101.745,101.75,598.0
CFFEX.T2212,2022-09-06 10:57:00,101.75,101.76,101.75,101.76,123.0
CFFEX.T2212,2022-09-06 10:58:00,101.76,101.76,101.74,101.745,279.0
CFFEX.T2212,2022-09-06 10:59:00,101.745,101.745,101.735,101.74,351.0
CFFEX.T2212,2022-09-06 11:00:00,101.74,101.745,101.74,101.745,298.0
CFFEX.T2212,2022-09-06 11:01:00,101.745,101.76,101.745,101.76,303.0
CFFEX.T2212,2022-09-06 11:02:00,101.76,101.76,101.755,101.755,149.0
CFFEX.T2212,2022-09-06 11:03:00,101.755,101.755,101.75,101.755,159.0
CFFEX.T2212,2022-09-06 11:04:00,101.755,101.76,101.755,101.755,17.0
CFFEX.T2212,2022-09-06 11:05:00,101.755,101.76,101.755,101.755,70.0
CFFEX.T2212,2022-09-06 11:06:00,101.755,101.755,101.745,101.75,62.0
CFFEX.T2212,2022-09-06 11:07:00,101.75,101.75,101.745,101.745,136.0
CFFEX.T2212,2022-09-06 11:08:00,101.745,101.745,101.735,101.74,176.0
CFFEX.T2212,2022-09-06 11:09:00,101.74,101.755,101.74,101.755,138.0
CFFEX.T2212,2022-09-06 11:10:00,101.755,101.755,101.75,101.75,62.0
CFFEX.T2212,2022-09-06 11:11:00,101.75,101.75,101.74,101.745,155.0
CFFEX.T2212,2022-09-06 11:12:00,101.745,101.745,101.735,101.735,117.0
CFFEX.T2212,2022-09-06 11:13:00,101.735,101.735,101.73,101.73,72.0
CFFEX.T2212,2022-09-06 11:14:00,101.73,101.735,101.725,101.73,375.0
CFFEX.T2212,2022-09-06 11:15:00,101.73,101.73,101.72,101.725,448.0
CFFEX.T2212,2022-09-06 11:16:00,101.725,101.735,101.72,101.735,199.0
CFFEX.T2212,2022-09-06 11:17:00,101.735,101.735,101.73,101.735,61.0
CFFEX.T2212,2022-09-06 11:18:00,101.735,101.735,101.73,101.735,40.0
CFFEX.T2212,2022-09-06 11:19:00,101.735,101.74,101.735,101.74,82.0
CFFEX.T2212,2022-09-06 11:20:00,101.74,101.75,101.74,101.75,105.0
CFFEX.T2212,2022-09-06 11:21:00,101.75,101.75,101.75,101.75,70.0
CFFEX.T2212,2022-09-06 11:22:00,101.75,101.755,101.75,101.75,178.0
CFFEX.T2212,2022-09-06 11:23:00,101.75,101.76,101.75,101.76,413.0
CFFEX.T2212,2022-09-06 11:24:00,101.76,101.76,101.755,101.755,112.0
CFFEX.T2212,2022-09-06 11:25:00,101.755,101.755,101.745,101.745,254.0
CFFEX.T2212,2022-09-06 11:26:00,101.745,101.745,101.73,101.735,334.0
CFFEX.T2212,2022-09-06 11:27:00,101.735,101.74,101.73,101.735,126.0
CFFEX.T2212,2022-09-06 11:28:00,101.735,101.74,101.73,101.73,154.0
CFFEX.T2212,2022-09-06 11:29:00,101.73,101.74,101.725,101.725,176.0
CFFEX.T2212,2022-09-06 13:00:00,101.725,101.735,101.72,101.73,280.0
CFFEX.T2212,2022-09-06 13:01:00,101.73,101.73,101.71,101.715,675.0
CFFEX.T2212,2022-09-06 13:02:00,101.715,101.72,101.71,101.71,125.0
CFFEX.T2212,2022-09-06 13:03:00,101.71,101.725,101.71,101.715,255.0
CFFEX.T2212,2022-09-06 13:04:00,101.715,101.72,101.7,101.705,378.0
CFFEX.T2212,2022-09-06 13:05:00,101.705,101.715,101.695,101.7,645.0
CFFEX.T2212,2022-09-06 13:06:00,101.7,101.73,101.7,101.72,521.0
CFFEX.T2212,2022-09-06 13:07:00,101.72,101.72,101.715,101.72,220.0
CFFEX.T2212,2022-09-06 13:08:00,101.72,101.72,101.72,101.72,24.0
CFFEX.T2212,2022-09-06 13:09:00,101.72,101.725,101.72,101.725,243.0
CFFEX.T2212,2022-09-06 13:10:00,101.725,101.725,101.71,101.715,409.0
CFFEX.T2212,2022-09-06 13:11:00,101.715,101.715,101.705,101.715,373.0
CFFEX.T2212,2022-09-06 13:12:00,101.715,101.72,101.715,101.715,24.0
CFFEX.T2212,2022-09-06 13:13:00,101.715,101.715,101.71,101.71,238.0
CFFEX.T2212,2022-09-06 13:14:00,101.71,101.72,101.705,101.715,352.0
CFFEX.T2212,2022-09-06 13:15:00,101.715,101.73,101.71,101.725,397.0
CFFEX.T2212,2022-09-06 13:16:00,101.725,101.73,101.715,101.715,262.0
CFFEX.T2212,2022-09-06 13:17:00,101.715,101.72,101.715,101.72,126.0
CFFEX.T2212,2022-09-06 13:18:00,101.72,101.72,101.72,101.72,1.0
CFFEX.T2212,2022-09-06 13:19:00,101.72,101.725,101.715,101.725,214.0
CFFEX.T2212,2022-09-06 13:20:00,101.725,101.735,101.72,101.73,188.0
CFFEX.T2212,2022-09-06 13:21:00,101.73,101.735,101.73,101.735,42.0
CFFEX.T2212,2022-09-06 13:22:00,101.735,101.74,101.735,101.735,180.0
CFFEX.T2212,2022-09-06 13:23:00,101.735,101.735,101.73,101.73,4.0
CFFEX.T2212,2022-09-06 13:24:00,101.73,101.74,101.73,101.735,45.0
CFFEX.T2212,2022-09-06 13:25:00,101.735,101.74,101.735,101.735,105.0
CFFEX.T2212,2022-09-06 13:26:00,101.735,101.74,101.735,101.74,209.0
CFFEX.T2212,2022-09-06 13:27:00,101.74,101.74,101.735,101.735,84.0
CFFEX.T2212,2022-09-06 13:28:00,101.735,101.735,101.73,101.73,74.0
CFFEX.T2212,2022-09-06 13:29:00,101.73,101.735,101.725,101.725,164.0
CFFEX.T2212,2022-09-06 13:30:00,101.725,101.73,101.725,101.725,263.0
CFFEX.T2212,2022-09-06 13:31:00,101.725,101.73,101.72,101.73,41.0
CFFEX.T2212,2022-09-06 13:32:00,101.73,101.74,101.725,101.735,223.0
CFFEX.T2212,2022-09-06 13:33:00,101.735,101.74,101.735,101.74,99.0
CFFEX.T2212,2022-09-06 13:34:00,101.74,101.745,101.74,101.745,171.0
CFFEX.T2212,2022-09-06 13:35:00,101.745,101.745,101.735,101.735,115.0
CFFEX.T2212,2022-09-06 13:36:00,101.735,101.735,101.725,101.73,176.0
CFFEX.T2212,2022-09-06 13:37:00,101.73,101.73,101.725,101.725,55.0
CFFEX.T2212,2022-09-06 13:38:00,101.725,101.73,101.725,101.73,36.0
CFFEX.T2212,2022-09-06 13:39:00,101.73,101.74,101.73,101.74,58.0
CFFEX.T2212,2022-09-06 13:40:00,101.74,101.74,101.735,101.74,37.0
CFFEX.T2212,2022-09-06 13:41:00,101.74,101.74,101.735,101.74,9.0
CFFEX.T2212,2022-09-06 13:42:00,101.74,101.74,101.735,101.74,124.0
CFFEX.T2212,2022-09-06 13:43:00,101.74,101.74,101.735,101.74,22.0
CFFEX.T2212,2022-09-06 13:44:00,101.74,101.74,101.73,101.735,221.0
CFFEX.T2212,2022-09-06 13:45:00,101.735,101.735,101.73,101.73,123.0
CFFEX.T2212,2022-09-06 13:46:00,101.73,101.74,101.73,101.735,73.0
CFFEX.T2212,2022-09-06 13:47:00,101.735,101.74,101.735,101.74,68.0
CFFEX.T2212,2022-09-06 13:48:00,101.74,101.75,101.74,101.745,227.0
CFFEX.T2212,2022-09-06 13:49:00,101.745,101.75,101.745,101.745,195.0
CFFEX.T2212,2022-09-06 13:50:00,101.745,101.76,101.745,101.755,433.0
CFFEX.T2212,2022-09-06 13:51:00,101.755,101.755,101.745,101.745,128.0
CFFEX.T2212,2022-09-06 13:52:00,101.745,101.75,101.745,101.745,21.0
CFFEX.T2212,2022-09-06 13:53:00,101.745,101.75,101.745,101.75,8.0
CFFEX.T2212,2022-09-06 13:54:00,101.75,101.75,101.745,101.745,212.0
CFFEX.T2212,2022-09-06 13:55:00,101.745,101.745,101.74,101.745,334.0
CFFEX.T2212,2022-09-06 13:56:00,101.745,101.755,101.74,101.75,159.0
CFFEX.T2212,2022-09-06 13:57:00,101.75,101.755,101.75,101.75,156.0
CFFEX.T2212,2022-09-06 13:58:00,101.75,101.755,101.75,101.755,64.0
CFFEX.T2212,2022-09-06 13:59:00,101.755,101.76,101.755,101.76,72.0
CFFEX.T2212,2022-09-06 14:00:00,101.76,101.76,101.75,101.75,68.0
CFFEX.T2212,2022-09-06 14:01:00,101.75,101.755,101.75,101.75,156.0
CFFEX.T2212,2022-09-06 14:02:00,101.75,101.75,101.745,101.745,34.0
CFFEX.T2212,2022-09-06 14:03:00,101.745,101.75,101.745,101.75,33.0
CFFEX.T2212,2022-09-06 14:04:00,101.75,101.76,101.75,101.76,67.0
CFFEX.T2212,2022-09-06 14:05:00,101.76,101.765,101.76,101.76,209.0
CFFEX.T2212,2022-09-06 14:06:00,101.76,101.765,101.76,101.76,158.0
CFFEX.T2212,2022-09-06 14:07:00,101.76,101.76,101.755,101.755,153.0
CFFEX.T2212,2022-09-06 14:08:00,101.755,101.76,101.755,101.76,29.0
CFFEX.T2212,2022-09-06 14:09:00,101.76,101.76,101.75,101.75,210.0
CFFEX.T2212,2022-09-06 14:10:00,101.75,101.755,101.75,101.75,11.0
CFFEX.T2212,2022-09-06 14:11:00,101.75,101.75,101.745,101.745,152.0
